Indicator,Disaggregation combinations using this value
#1-3-1,6
#1-4-1,2
#1-5-1,3
#1-5-2,1
#1-5-4,2
#10-1-1,2
#10-4-1,1
#11-5-1,3
#11-5-2,1
#11-6-1,5
#11-b-2,2
#12-4-2,5
#12-5-1,1
#12-6-1,2
#12-a-1,5
#13-1-1,3
#13-1-3,2
#15-1-1,1
#15-1-2,1
#16-1-1,1
#16-1-4,3
#16-1-E1,1
#16-3-2,3
#16-6-1,1
#16-6-2,30
#16-7-1,14
#17-1-1,1
#17-13-1,3
#17-6-1,5
#17-8-1,3
#2-3-1,2
#2-3-2,2
#2-4-E1,1
#2-a-1,1
#2-c-1,1
#3-1-1,15
#3-1-2,1
#3-2-1,3
#3-2-2,3
#3-4-1,15
#3-4-2,3
#3-4-E2,3
#3-6-1,3
#3-7-2,2
#3-9-3,3
#3-a-1,3
#3-c-1,15
#4-2-2,3
#4-3-1,9
#4-4-1,72
#4-5-1,2
#5-2-1,1
#5-2-2,1
#5-3-1,1
#5-4-1,3
#5-5-1,2
#5-5-2,3
#5-a-1,6
#5-b-1,3
#6-2-1,2
#6-4-2,7
#7-b-1,5
#8-1-1,1
#8-10-1,1
#8-2-1,1
#8-5-2,8
#8-5-E1,6
#8-6-1,3
#8-8-1,6
#8-9-1,2
#9-1-1,1
#9-2-1,2
#9-2-2,3
#9-3-1,1
#9-5-1,1
#9-5-2,1
#9-c-1,3
