Year,Series,Institucion,Territorio,Units,Value
2021,SG_DMK_PSRVC,,ES213,RO,1.21
2016,SG_DMK_PSRVC,,ES211,RO,1.21
2012,SG_DMK_PSRVC,,ES211,RO,1.18
2017,SG_DMK_JDC,,,RO,1.22
2016,SG_DMK_PARLMP_LC,,,RO,1.07
2012,SG_DMK_PSRVC,,ES213,RO,1.11
2017,SG_DMK_PSRVC,,ES213,RO,1.17
2019,SG_DMK_PSRVC,,ES211,RO,1.24
2019,SG_DMK_PSRVC,,,RO,1.21
2010,SG_DMK_PSRVC,,,RO,1.13
2018,SG_DMK_JDC,,,RO,1.21
2020,SG_DMK_PSRVC,,,RO,1.22
2022,SG_DMK_JDC,,,RO,1.2
2018,SG_DMK_PSRVC,,ES213,RO,1.12
2019,SG_DMK_JDC,,,RO,1.23
2021,SG_DMK_PARLMP_LC,,,RO,1.01
2018,SG_DMK_PSRVC,,ES211,RO,1.22
2016,SG_DMK_PSRVC,,ES213,RO,1.14
2013,SG_DMK_PSRVC,,ES211,RO,1.19
2020,SG_DMK_PSRVC,,ES213,RO,1.2
2011,SG_DMK_PSRVC,,ES211,RO,1.16
2019,SG_DMK_PSRVC,,ES213,RO,1.19
2017,SG_DMK_PSRVC,,ES211,RO,1.22
2022,SG_DMK_PSRVC,,,RO,1.23
2011,SG_DMK_PSRVC,,,RO,1.12
2010,SG_DMK_PSRVC,,ES213,RO,1.11
2023,SG_DMK_PSRVC,,,RO,1.29
2012,SG_DMK_PARLMP_LC,,,RO,0.99
2014,SG_DMK_PSRVC,,,RO,1.16
2018,SG_DMK_PSRVC,,ES212,RO,1.17
2020,SG_DMK_PSRVC,,ES211,RO,1.24
2020,SG_DMK_JDC,,,RO,1.24
2010,SG_DMK_PSRVC,,ES212,RO,1.15
2022,SG_DMK_PSRVC,,ES213,RO,1.21
2014,SG_DMK_JDC,,,RO,1.23
2014,SG_DMK_PSRVC,,ES212,RO,1.17
2017,SG_DMK_PSRVC,,ES212,RO,1.21
2017,SG_DMK_PSRVC,,,RO,1.19
2022,SG_DMK_PARLMP_LC,,,RO,1.01
2011,SG_DMK_JDC,,,RO,1.22
2022,SG_DMK_PSRVC,,ES211,RO,1.27
2011,SG_DMK_PSRVC,,ES213,RO,1.1
2021,SG_DMK_PSRVC,,ES211,RO,1.25
2017,SG_DMK_PARLMP_LC,,,RO,1.07
2013,SG_DMK_PSRVC,,,RO,1.15
2010,SG_DMK_PARLMP_LC,,,RO,0.91
2015,SG_DMK_PARLMP_LC,,,RO,0.99
2011,SG_DMK_PSRVC,,ES212,RO,1.14
2012,SG_DMK_PSRVC,,,RO,1.14
2021,SG_DMK_JDC,,,RO,1.23
2013,SG_DMK_PSRVC,,ES213,RO,1.12
2012,SG_DMK_PSRVC,,ES212,RO,1.17
2023,SG_DMK_PSRVC,,ES212,RO,1.31
2020,SG_DMK_PSRVC,,ES212,RO,1.24
2010,SG_DMK_JDC,,,RO,1.15
2021,SG_DMK_PSRVC,,ES212,RO,1.25
2014,SG_DMK_PSRVC,,ES213,RO,1.13
2020,SG_DMK_PARLMP_LC,,,RO,1.01
2010,SG_DMK_PSRVC,,ES211,RO,1.16
2022,SG_DMK_PSRVC,,ES212,RO,1.23
2021,SG_DMK_PSRVC,,,RO,1.23
2016,SG_DMK_JDC,,,RO,1.2
2014,SG_DMK_PARLMP_LC,,,RO,0.99
2023,SG_DMK_PARLMP_LC,,,RO,0.99
2016,SG_DMK_PSRVC,,ES212,RO,1.19
2013,SG_DMK_JDC,,,RO,1.23
2013,SG_DMK_PSRVC,,ES212,RO,1.18
2023,SG_DMK_JDC,,,RO,1.22
2015,SG_DMK_PSRVC,,ES213,RO,1.14
2014,SG_DMK_PSRVC,,ES211,RO,1.2
2015,SG_DMK_PSRVC,,,RO,1.16
2012,SG_DMK_JDC,,,RO,1.17
2018,SG_DMK_PSRVC,,,RO,1.16
2018,SG_DMK_PARLMP_LC,,,RO,1.07
2013,SG_DMK_PARLMP_LC,,,RO,0.99
2023,SG_DMK_PSRVC,,ES213,RO,1.29
2011,SG_DMK_PARLMP_LC,,,RO,0.91
2016,SG_DMK_PSRVC,,,RO,1.17
2019,SG_DMK_PARLMP_LC,,,RO,1.07
2015,SG_DMK_PSRVC,,ES212,RO,1.18
2015,SG_DMK_JDC,,,RO,1.24
2023,SG_DMK_PSRVC,,ES211,RO,1.28
2015,SG_DMK_PSRVC,,ES211,RO,1.2
2019,SG_DMK_PSRVC,,ES212,RO,1.23
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.33
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.31
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.4
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.37
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.29
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.47
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.35
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.38
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.4
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.42
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.34
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.39
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.4
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.33
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.26
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.33
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.32
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.31
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.28
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.41
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2021,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.36
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.3
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.33
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.38
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2012,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.29
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.34
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.37
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.3
2013,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.31
2020,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.32
2011,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.29
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES212,RO,1.42
2010,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.3
2017,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.35
2016,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.31
2015,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2014,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.33
2018,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.3
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.34
2022,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,,RO,1.34
2023,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES211,RO,1.32
2019,SG_DMK_PSRVC,EU_DMK_PSRVC_AUT,ES213,RO,1.35
2022,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.49
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.46
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.5
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.59
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.56
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.54
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.6
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2020,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27
2021,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.22
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.42
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2022,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.48
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2023,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.26
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.5
2021,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2023,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29
2014,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2019,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2022,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.29
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.48
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.49
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.47
2021,SG_DMK_PSRVC,EU_DMK_DF,,RO,1.27
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.46
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2011,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2023,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2021,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.36
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.45
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.52
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.49
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.55
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.54
2010,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.5
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.54
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.46
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2020,SG_DMK_PSRVC,EU_DMK_DF,ES212,RO,1.2
2022,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.44
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.45
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.61
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.48
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.51
2020,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56
2022,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.56
2016,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.51
2012,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.48
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.53
2010,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.46
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.58
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.48
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.5
2013,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES211,RO,1.47
2021,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.57
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2017,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.55
2018,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.56
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.53
2015,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2023,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26
2020,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.25
2014,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2023,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.37
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.53
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.54
2015,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.53
2011,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES213,RO,1.46
2020,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2019,SG_DMK_PSRVC,EU_DMK_SAN_AUT,,RO,1.56
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.51
2023,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.57
2017,SG_DMK_PSRVC,EU_DMK_EDU_AUT,,RO,1.49
2022,SG_DMK_PSRVC,EU_DMK_DF,ES213,RO,1.26
2012,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.5
2013,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES211,RO,1.55
2021,SG_DMK_PSRVC,EU_DMK_SAN_AUT,ES212,RO,1.62
2018,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES213,RO,1.49
2016,SG_DMK_PSRVC,EU_DMK_EDU_AUT,ES212,RO,1.47
2020,SG_DMK_PSRVC,EU_DMK_DF,ES211,RO,1.38
